REMOTE_ADDR,REMOTE_USER,DATETIME,REQUEST,STATUS,BODY_BYTES_SENT,HTTP_REFER, HTTP_USER_AGENT,HTTP_FOR 
"172.17.0.1","-","06/Oct/2021:09:13:00","GET /favicon.ico HTTP/1.1","404","555","http://127.0.0.1:7079/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
"172.17.0.1","-","06/Oct/2021:09:13:01","GET / HTTP/1.1","304","0","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
"172.17.0.1","-","06/Oct/2021:12:29:26","GET / HTTP/1.1","304","0","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
"172.17.0.1","-","06/Oct/2021:12:29:28","GET / HTTP/1.1","304","0","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
"172.17.0.1","-","06/Oct/2021:12:30:16","GET / HTTP/1.1","304","0","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
"172.17.0.1","-","06/Oct/2021:12:30:17","GET / HTTP/1.1","304","0","-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36","-"
